"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","switchConsequencesGene","Rank"
"362","geneComp_00003859","CLMN","CLMN","normal","tumor",0.00995669639180255,TRUE,237
"363","geneComp_00016173","FBXL18","FBXL18","normal","tumor",0.0100208706838109,TRUE,238
"365","geneComp_00032055","TLE1","TLE1","normal","tumor",0.0100421405805706,TRUE,239
"367","geneComp_00032549","TNS3","TNS3","normal","tumor",0.0101003721782925,TRUE,240
"368","geneComp_00029932","SLC26A4-AS1","SLC26A4-AS1","normal","tumor",0.0101054678681328,TRUE,241
"369","geneComp_00001830","BCLAF3","BCLAF3","normal","tumor",0.0101067641713527,TRUE,242
"370","geneComp_00026342","PPP1R14A","PPP1R14A","normal","tumor",0.0101067641713527,TRUE,243
"372","geneComp_00024608","OLFML3","OLFML3","normal","tumor",0.0101706730213077,TRUE,244
"374","geneComp_00009619","ENSG00000261487","ENSG00000261487","normal","tumor",0.0104263702432199,TRUE,245
"376","geneComp_00025428","PDSS2","PDSS2","normal","tumor",0.0104625746646268,TRUE,246
"378","geneComp_00030745","SPATA13","SPATA13","normal","tumor",0.0104625746646268,TRUE,247
"379","geneComp_00001284","ARMC9","ARMC9","normal","tumor",0.0107517965169421,TRUE,248
"380","geneComp_00015560","EPS15L1","EPS15L1","normal","tumor",0.010762021725853,TRUE,249
"381","geneComp_00018133","HLCS","HLCS","normal","tumor",0.0107805821203442,TRUE,250
"382","geneComp_00005267","DNAJC4","DNAJC4","normal","tumor",0.0108535351456365,TRUE,251
"383","geneComp_00022877","MMP14","MMP14","normal","tumor",0.0111061752884982,TRUE,252
"384","geneComp_00003031","CCSER2","CCSER2","normal","tumor",0.0114432827141569,TRUE,253
"385","geneComp_00004209","CPLANE1","CPLANE1","normal","tumor",0.0114692886237453,TRUE,254
"386","geneComp_00023875","NEK6","NEK6","normal","tumor",0.0115396085975125,TRUE,255
"387","geneComp_00016911","GATD1-DT","GATD1-DT","normal","tumor",0.0116487310354955,TRUE,256
"388","geneComp_00034912","ZNF584-DT","ZNF584-DT","normal","tumor",0.0118951235230637,TRUE,257
"389","geneComp_00033129","TTC21A","TTC21A","normal","tumor",0.0120392853658605,TRUE,258
"390","geneComp_00033393","UBE2I","UBE2I","normal","tumor",0.0122481945240529,TRUE,259
"391","geneComp_00026927","PTPRC","PTPRC","normal","tumor",0.012449980266621,TRUE,260
"392","geneComp_00021883","LRRC14","LRRC14","normal","tumor",0.0126854319865887,TRUE,261
"393","geneComp_00022429","MCRIP2","MCRIP2","normal","tumor",0.0131816180926317,TRUE,262
"394","geneComp_00032301","TMEM237","TMEM237","normal","tumor",0.0132208151756659,TRUE,263
"395","geneComp_00024564","ODAD4","ODAD4","normal","tumor",0.0132288985491377,TRUE,264
"397","geneComp_00030658","SORCS2","SORCS2","normal","tumor",0.0132801506068772,TRUE,265
"398","geneComp_00034322","ZBTB38","ZBTB38","normal","tumor",0.013286308549548,TRUE,266
"400","geneComp_00026684","PRSS22","PRSS22","normal","tumor",0.0134253631485308,TRUE,267
"402","geneComp_00034980","ZNF667-AS1","ZNF667-AS1","normal","tumor",0.0135026254951042,TRUE,268
"404","geneComp_00025758","PINLYP","PINLYP","normal","tumor",0.0141058292201122,TRUE,269
"405","geneComp_00031498","TAL1","TAL1","normal","tumor",0.0141058292201122,TRUE,270
"406","geneComp_00019132","INPP5F","INPP5F","normal","tumor",0.0142354027492701,TRUE,271
"407","geneComp_00019645","KIAA0040","KIAA0040","normal","tumor",0.0143768260194695,TRUE,272
"408","geneComp_00022490","MED28","MED28","normal","tumor",0.0143962413196106,TRUE,273
"409","geneComp_00034986","ZNF672","ZNF672","normal","tumor",0.0144090813967912,TRUE,274
"410","geneComp_00016074","FAM88C","FAM88C","normal","tumor",0.0145610351231286,TRUE,275
"411","geneComp_00023086","MRPL47","MRPL47","normal","tumor",0.014577334498344,TRUE,276
"413","geneComp_00023170","MSH3","MSH3","normal","tumor",0.0147331734902613,TRUE,277
"414","geneComp_00032072","TLN2","TLN2","normal","tumor",0.0150039236379412,TRUE,278
"415","geneComp_00022849","MLLT1","MLLT1","normal","tumor",0.0152343521818036,TRUE,279
"417","geneComp_00023639","NAT10","NAT10","normal","tumor",0.0152731749090829,TRUE,280
"418","geneComp_00025707","PIGO","PIGO","normal","tumor",0.0153773695639948,TRUE,281
"420","geneComp_00005773","EGLN2","EGLN2","normal","tumor",0.015795941086631,TRUE,282
"421","geneComp_00002877","CCDC40","CCDC40","normal","tumor",0.0159825702256925,TRUE,283
"422","geneComp_00016955","GCNT3","GCNT3","normal","tumor",0.0161016567919722,TRUE,284
"424","geneComp_00022460","ME3","ME3","normal","tumor",0.0161016567919722,TRUE,285
"425","geneComp_00001593","ATP6V1G2","ATP6V1G2","normal","tumor",0.0161081895456381,TRUE,286
"427","geneComp_00026923","PTPN7","PTPN7","normal","tumor",0.0161303542885683,TRUE,287
"428","geneComp_00016276","FDFT1","FDFT1","normal","tumor",0.0162977793665138,TRUE,288
