UniqueCount	AmbigCount
0	10
0	1
1	701
0	0
0	11
0	9
0	1
0	0
0	0
0	0
0	0
0	0
0	0
5	28
0	2
0	1
0	10
0	0
0	21
4	7
3	51
0	4
0	4
72	21
0	15
0	71
23	40
0	0
43	131
0	0
0	0
0	2
14	914
0	175
0	161
0	117
0	71
0	55
88	37
12	3
0	46
0	0
0	0
0	0
0	0
0	1
0	0
0	2
4	14
4	6
0	0
32	1
0	43
0	15
0	25
0	21
0	19
0	16
0	15
0	17
0	14
11	9
0	14
0	13
1	5
0	2
0	26
1	6
0	0
0	1
0	2
0	6
1	84
0	1
0	1
0	4
0	0
0	0
2	1
0	2
0	0
0	8
0	2
0	0
0	0
0	5
0	2
0	0
0	0
0	0
5744	91347
44463	622749
45129	1620623
0	0
10	2839
3	6
51956	326295
3	2193
0	0
0	6
41	511
1	0
0	0
0	0
0	3
0	11
0	4
0	4
0	6
0	4
0	7
3	5
0	4
0	4
2	17
0	4
0	4
0	4
0	5
0	13
1	12
9	1
0	5
3	5
0	10
0	1
2	1
0	2
0	2
0	6
0	2
0	2
0	2
0	1
1	26
4	8
7	9
0	0
12	11
0	11
0	1
92	7
0	1
1	206
4	231
75	419
10	98
0	485
16	62
0	340
0	449
6	28
0	246
0	441
0	283
0	347
1	7
1	180
1	243
0	30
0	202
0	273
0	286
1	233
0	13
4	132
1	205
0	206
0	282
0	269
0	268
0	341
0	189
0	204
0	223
1	239
3	13
2	268
0	329
0	213
2	13
0	12
0	59
0	13
0	200
2	7
0	2
3	2
2	42
0	16
0	27
2	1
0	0
0	0
0	0
0	0
65	34
0	23
0	11
0	46
0	43
1	2
1	37
0	21
0	20
0	23
0	15
0	19
0	26
0	9
0	0
0	1
0	0
0	0
141	1212
0	416
22	1003
0	0
41	360
7	17
37	10
2	1
3	10
4	3
17	32
0	33
2	34
0	3
0	4
0	0
0	0
0	0
0	0
6	0
1	8
1	4
0	5
0	1
0	45
1	29
92	45
0	0
0	0
0	2215
0	1993
0	1924
0	2146
0	6
1	59
5	31
0	1
6	10
23	762
0	5
0	9
0	10
0	3
0	9
0	10
0	10
2	9
0	9
1	2
1	7
11	0
2	0
1	0
1	66
0	52
1	61
0	74
12	46
0	68
7	66
0	5
1	46
0	14
1	23
0	23
1	7
0	6
0	11
0	2
0	2
6	2
0	1
0	3
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	3
0	0
1	0
0	0
0	0
0	0
0	0
0	3
0	3
0	2
0	12
0	13
0	15
0	20
0	16
0	17
0	8
0	18
0	5
0	6
0	13
0	14
1	10
0	1
78	3220
3	2926
1	2398
39	1088
5	805
5	627
0	479
237	2
0	0
0	0
0	0
0	0
0	0
1	2
0	765
5	840
0	774
4	469
4	463
0	399
1	380
3	40
0	315
0	251
0	53
0	54
0	86
0	61
2	77
2	4
0	16
0	23
2	36
10	1
0	0
5	0
0	19
0	15
0	21
0	21
0	1
0	19
0	1
0	2
11	334
10	365
5	237
0	241
1	2
0	17
3	44
2	2
19	57
0	19
10	1
0	7
0	0
0	0
43	106
2	23
0	9
0	52
0	10
1	50
0	50
1	653
0	1095
0	1096
0	824
0	197
0	920
0	1303
0	826
46	677
7	411
2	750
0	1092
0	845
0	740
0	970
0	941
0	251
4	101
0	82
0	811
0	125
0	226
0	164
0	88
0	123
0	241
0	7
5	24
1	342
4	186
2	110
0	222
1	197
1	200
2	7
0	5
0	93
1	318
4	230
2	63
0	164
0	71
0	88
0	76
0	105
0	28
0	0
0	4
0	0
0	0
25	1
1	202
784	341
4	145
10	0
7	1131
52	1199
0	165
0	164
6	100
3	20
3	47
0	0
0	64
0	102
2	110
0	59
0	104
0	28
0	21
4	34
0	2
0	1
5	1174
9	1137
365	1135
63	1177
4	51
2	19
0	0
0	583
18	759
2	561
15	366
18	1243
0	698
3	868
0	913
0	289
1	455
0	112
2	72
1	79
1	127
0	369
3	13
4	97
2	2
0	15
6	504
7	493
3	473
0	526
0	462
0	524
0	427
0	438
0	455
0	18
0	422
0	463
0	457
0	180
842	1046
3	403
16	554
17	29
17	648
2	85
0	1
37	42
0	44
1	41
1	42
0	16
1	7
0	0
0	0
1	0
2	0
0	0
0	0
5	148
7	596
252	746
1	16
476	157
0	0
109	113
0	347
0	202
53	287
1	28
28	180
75	120
0	16
8	17
0	4
0	1037
5	760
1	971
0	880
6	980
0	5
0	62
5	195
7	0
2	3
727	1577
3	1223
1	362
570	65
0	5
22	30
0	0
39	0
7	0
145	0
25	260
4	252
0	265
0	266
0	194
2	254
0	237
10	13
0	18
1	251
0	5
0	177
3	11
0	1
0	15
0	262
0	202
0	8
0	242
0	211
0	2
2	4
1	209
2	33
1	6
0	4
2	35
0	40
0	63
0	23
0	10
0	10
0	0
0	5
1	3
0	2
0	2
0	0
0	2
0	2
1	0
0	0
9	1130
0	1019
3	999
0	848
0	761
0	813
0	812
0	813
0	170
0	2
2	70
0	1446
0	1453
12	432
3	94
0	0
0	0
0	5
44	865
0	741
2	133
0	545
0	679
0	470
1	684
0	763
0	680
0	617
9	18
1	27
1	11
0	2
1	61
0	3
0	13
3	74
6	57
2	62
0	3
0	13
12	14
37	560
5	3
1	5
0	0
1	0
1	67
4	18
0	77
0	43
0	1292
6	1272
4	1159
5	546
1	6
4	171
0	63
0	29
5	144
4	37
2	20
0	102
2	131
7	98
5	88
2	31
0	0
0	7646
0	8260
7	8542
0	7975
0	7769
2	8397
0	7589
0	6963
0	8393
2	7764
1	5229
0	7778
0	8302
1	8119
0	8113
0	7923
0	7755
0	6903
3	6881
0	6307
0	6665
11	6403
2	3219
0	2765
12	575
0	1405
0	778
0	264
0	3
3	30
0	0
0	3
0	3
0	2
0	3
0	2
0	1
0	1
1	1
0	0
0	15
1	15
0	1
0	2
3	1
0	0
0	3
0	1
0	3
0	1
0	0
3	3
0	2
0	0
4	5
0	0
7	8
0	8
0	37
0	80
0	32
0	55
0	75
1	42
0	3
0	57
0	49
0	35
0	0
0	74
0	13
0	5
2	48
0	26
0	31
0	11
0	49
1	0
0	0
61	564
0	38
0	3
0	9
0	9
0	4
0	530
0	8
0	475
0	32
0	69
0	41
0	68
1	41
0	95
0	81
0	54
0	22
0	11
0	57
0	8
0	473
0	76
0	348
1	290
1	12
9	1
2	0
